4.0400,0.0000,0
4.0900,0.0000,1
4.0900,0.0000,2
4.0400,0.0000,3
4.0900,0.0000,4
3.9900,0.0000,5
3.9400,0.0000,6
3.9400,0.0000,7
3.9900,0.0000,8
3.9400,0.0000,9
3.6800,0.0000,10
3.6200,0.0000,11
3.6800,0.0000,12
3.5700,0.0000,13
3.6200,0.0000,14
3.6800,0.0000,15
3.9900,0.0000,16
4.0900,0.0000,17
4.1400,0.0000,18
4.1400,0.0000,19
4.1400,0.0000,20
4.1400,0.0000,21
4.1400,0.0000,22
4.0900,0.0000,23
4.2300,0.0000,24
4.1400,0.0000,25
4.1400,0.0000,26
4.1900,0.0000,27
3.9400,0.0000,28
3.8400,0.0000,29
3.6800,0.0000,30
3.5100,0.0000,31
3.5100,0.0000,32
3.6800,0.0000,33
3.9400,0.0000,34
4.0400,0.0000,35
4.2300,0.0000,36
4.0900,0.0000,37
4.0900,0.0000,38
4.2800,0.0000,39
4.0900,0.0000,40
4.3300,0.0000,41
4.1400,0.0000,42
4.0900,0.0000,43
4.0900,0.0000,44
4.1900,0.0000,45
4.1400,0.0000,46
4.3300,0.0000,47
4.2300,0.0000,48
3.8900,0.0000,49
3.9400,0.0000,50
3.7300,0.0000,51
3.2800,0.0000,52
2.5300,0.0000,53
1.0400,0.0000,54

4.1380,0.1300,0
4.1380,0.1300,1
4.1380,0.1300,2
4.3279,0.1360,3
4.0880,0.1285,4
4.1380,0.1300,5
4.1380,0.1300,6
4.0880,0.1285,7
4.2779,0.1344,8
4.2779,0.1344,9
3.9880,0.1253,10
4.0380,0.1269,11
3.6182,0.1137,12
3.6182,0.1137,13
3.7781,0.1187,14
3.9880,0.1253,15
4.1879,0.1316,16
4.3678,0.1373,17
4.5478,0.1429,18
4.4178,0.1388,19
4.4578,0.1401,20
4.2279,0.1329,21
4.2779,0.1344,22
4.2779,0.1344,23
4.2279,0.1329,24
4.2279,0.1329,25
4.1879,0.1316,26
4.1380,0.1300,27
4.1879,0.1316,28
3.9381,0.1238,29
3.6782,0.1156,30
