160.00,0.00,0.00
166.92,5.25,0.00
196.61,12.37,0.00
203.09,19.20,0.00
209.34,26.45,0.00
229.14,36.29,0.00
234.77,44.78,0.00
199.09,44.50,0.00
190.81,48.99,0.00
202.62,58.87,0.00
227.30,73.86,0.00
212.64,76.55,0.00
222.22,87.98,0.00
232.19,100.48,0.00
228.92,107.72,0.00
237.01,120.76,0.00
221.71,121.88,0.00
223.79,132.35,0.00
224.59,142.53,0.00
220.00,149.51,0.00
215.20,156.35,0.00
205.44,159.36,0.00
204.96,169.55,0.00
219.03,193.10,0.00
203.38,190.99,0.00
202.23,202.23,0.00
195.78,208.49,0.00
197.07,223.53,0.00
182.30,220.37,0.00
175.29,225.98,0.00
168.11,231.38,0.00
164.13,241.51,0.00
149.50,235.57,0.00
142.02,240.15,0.00
134.41,244.49,0.00
126.66,248.59,0.00
118.79,252.45,0.00
110.80,256.05,0.00
105.28,265.92,0.00
94.51,262.51,0.00
86.22,265.34,0.00
79.79,274.64,0.00
69.38,270.23,0.00
60.86,272.28,0.00
51.16,268.16,0.00
44.74,282.48,0.00
34.97,276.80,0.00
28.04,296.68,0.00
17.52,278.45,0.00
9.17,291.86,0.00
0.00,286.00,0.00
-8.98,285.86,0.00
-17.52,278.45,0.00
-26.91,284.73,0.00
-34.97,276.80,0.00
-44.74,282.48,0.00
-52.28,274.06,0.00
-60.86,272.28,0.00
-75.60,294.45,0.00
-86.49,297.69,0.00
-93.94,289.12,0.00
-105.01,291.67,0.00
-116.33,293.81,0.00
-120.73,279.00,0.00
-129.44,275.07,0.00
-138.01,270.87,0.00
-155.12,282.17,0.00
-166.97,282.32,0.00
-182.18,287.07,0.00
-197.29,290.31,0.00
-206.31,283.96,0.00
-212.07,273.39,0.00
-227.56,275.07,0.00
-236.09,267.79,0.00
-240.28,255.87,0.00
-248.19,248.19,0.00
-260.24,244.38,0.00
-259.54,228.81,0.00
-261.97,216.72,0.00
-259.17,201.03,0.00
-265.36,192.79,0.00
-261.36,177.62,0.00
-271.87,172.54,0.00
-261.67,154.75,0.00
-271.66,149.34,0.00
-270.87,138.01,0.00
-307.64,144.76,0.00
-306.53,132.65,0.00
-288.23,114.12,0.00
-319.90,115.17,0.00
-317.65,103.21,0.00
-353.39,102.67,0.00
-339.97,87.29,0.00
-331.81,74.17,0.00
-316.30,60.34,0.00
-300.26,47.56,0.00
-307.56,38.85,0.00
-320.57,30.30,0.00
-333.34,20.97,0.00
-333.84,10.49,0.00
-310.00,0.00,0.00
